	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
UL	0.00807488	8	0	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.00809568	8	0	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00809568	8	0	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.00812912	8	1	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.00814992	8	1	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00814992	8	1	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.00817488	8	1	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.00819568	8	1	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00819568	8	1	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.00822912	8	2	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.00824992	8	2	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00824992	8	2	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.00827488	8	2	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.00829568	8	2	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00829568	8	2	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.00832912	8	3	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.00834992	8	3	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00834992	8	3	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.00837488	8	3	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.00839568	8	3	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00839568	8	3	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.00842912	8	4	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.00844992	8	4	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00844992	8	4	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.00847488	8	4	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.00849568	8	4	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00849568	8	4	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.00852912	8	5	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.00854992	8	5	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00854992	8	5	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.00857488	8	5	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.00859568	8	5	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00859568	8	5	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.00862912	8	6	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.00864992	8	6	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00864992	8	6	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.00867488	8	6	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.00869568	8	6	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00869568	8	6	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.00872912	8	7	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.00874992	8	7	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00874992	8	7	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.00877488	8	7	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.00879568	8	7	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00879568	8	7	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.00882912	8	8	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
DL	0.00884992	8	8	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00884992	8	8	7	5	1	1	0	1932	10	0	5.7009	 	0	1.1603e-05
UL	0.00887488	8	8	12	6	1	2	0	9289	25	0	21.6565 	0	0.00239613
UL	0.00889568	8	8	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00889568	8	8	18	5	1	1	0	2126	11	0	5.7009 	0	2.50188e-06
DL	0.00892912	8	9	1	6	1	1	0	2317	10	0	5.7009	 	0	1.54706e-05
DL	0.00894992	8	9	1	11	2	1	0	8514	16	0	12.2043	 	0	0
DL	0.00894992	8	9	7	5	1	2	0	7257	24	0	21.6565	 	0	8.88178e-15
UL	0.00897488	8	9	12	6	1	1	0	2551	11	0	5.7009 	0	3.33584e-06
UL	0.00899568	8	9	12	11	2	1	0	8514	16	0	12.2043 	0	0
UL	0.00899568	8	9	18	5	1	2	0	7740	25	0	21.6565 	0	0.00202787
DL	0.00902912	9	0	1	6	1	2	0	8709	24	0	21.6565	 	0	1.06581e-14
